name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price
58200.0,60000.0,2016,0,0,16000.0,84246.0
107000.0,123000.0,2016,0,0,7000.0,72752.5
46111.11111111111,60000.0,2017,0,0,4000.0,72752.5
97142.85714285714,100000.0,2017,0,0,45000.0,72752.5
47600.0,22000.0,2014,0,0,87250.0,78350.0
24829.956521739132,30000.0,2014,0,0,52000.0,50267.0
27187.5,28000.0,2013,0,0,45000.0,60122.0
38914.634146341465,50000.0,2007,0,0,52000.0,72752.5
40000.0,40000.0,2017,0,0,27000.0,49521.0
39125.0,43000.0,2018,0,0,60000.0,72752.5
46111.11111111111,40000.0,2015,0,0,2300.0,72752.5
124000.0,100000.0,2012,0,0,15000.0,99399.0
39125.0,30000.0,2016,0,0,50000.0,72752.5
129800.0,130000.0,2017,0,0,27000.0,72752.5
68740.27272727272,48000.0,2016,0,1,25000.0,88161.0
29500.0,32000.0,2017,0,0,40000.0,72752.5
24000.0,23000.0,2010,0,0,32000.0,72752.5
32923.07692307692,20000.0,2010,0,1,50000.0,64589.0
122111.11111111111,125000.0,2017,0,0,36000.0,72752.5
30333.333333333332,23000.0,2016,0,0,17450.0,44389.0
27187.5,15000.0,2011,0,0,32000.0,57549.0
35000.0,35000.0,2015,0,0,38000.0,69983.0
28333.333333333332,25000.0,2014,0,1,71000.0,54299.0
38914.634146341465,80000.0,2019,0,0,8000.0,72752.5
15000.0,15000.0,2010,0,0,12000.0,72752.5
45000.0,45000.0,2013,0,1,50000.0,72303.0
30000.0,25000.0,2012,0,1,30000.0,65800.0
36000.0,35000.0,2013,0,0,15888.0,58757.0
22000.0,25000.0,2013,0,0,26000.0,47032.0
122111.11111111111,133000.0,2018,0,0,5600.0,72752.5
24829.956521739132,25000.0,2014,0,0,41000.0,50267.0
87166.66666666667,60000.0,2007,0,1,19612.0,72752.5
38914.634146341465,41000.0,2012,0,0,17000.0,72752.5
33399.933333333334,35000.0,2012,0,0,33700.0,72752.5
61250.0,75000.0,2015,0,0,87250.0,79233.0
40466.6,47999.0,2016,0,0,6000.0,54605.0
33399.933333333334,36999.0,2011,0,0,21000.0,72752.5
40700.0,25000.0,2007,0,0,80000.0,85011.0
70000.0,60000.0,2016,0,0,15000.0,72752.5
50142.857142857145,50000.0,2007,0,0,46000.0,74295.0
66666.66666666667,65000.0,2013,0,0,11000.0,99399.0
32250.0,12000.0,2007,0,0,72000.0,72752.5
58750.0,60000.0,2015,0,0,50000.0,92074.0
24829.956521739132,20000.0,2010,0,0,50000.0,50267.0
35416.666666666664,27000.0,2011,0,0,67000.0,78712.0
12333.333333333334,10000.0,2000,0,0,30000.0,72752.5
40285.71428571428,56000.0,2015,0,0,48000.0,72752.5
40285.71428571428,58000.0,2015,0,0,48000.0,72752.5
81750.0,87000.0,2018,0,0,8000.0,72752.5
55000.0,35000.0,2015,0,0,15500.0,52949.0
40700.0,35000.0,2012,0,0,45000.0,85011.0
35000.0,40000.0,2014,0,1,60855.0,64071.0
32923.07692307692,56000.0,2017,0,2,37714.0,64589.0
40700.0,30000.0,2008,0,1,60000.0,85011.0
46750.0,40000.0,2017,0,0,26000.0,61545.0
39125.0,60000.0,2019,0,0,6000.0,72752.5
35000.0,40000.0,2013,0,0,30000.0,86744.0
28888.88888888889,40000.0,2018,0,0,17000.0,72752.5
130000.0,130000.0,2015,0,0,34601.0,99399.0
58750.0,45000.0,2015,0,0,48000.0,92074.0
44285.71428571428,42000.0,2013,0,0,60000.0,79432.0
45000.0,25000.0,2012,0,0,44000.0,72752.5
38914.634146341465,15000.0,2006,0,0,55000.0,72752.5
133000.0,133000.0,2018,0,0,16000.0,99399.0
40000.0,38000.0,2016,0,1,20000.0,59095.0
65562.5,60000.0,2015,0,1,17500.0,84042.0
55021.28571428572,65000.0,2017,0,0,46000.0,72752.5
49000.0,35000.0,2011,0,0,30000.0,75502.0
38914.634146341465,70000.0,2019,0,0,6500.0,72752.5
27142.85714285714,15000.0,2006,0,0,80000.0,72752.5
43333.333333333336,50000.0,2017,0,1,10000.0,52271.0
122111.11111111111,133000.0,2017,0,0,2200.0,72752.5
35416.666666666664,25000.0,2008,0,0,40000.0,78712.0
47600.0,58000.0,2016,0,0,21000.0,80350.0
96200.0,90000.0,2007,0,0,3500.0,72752.5
9000.0,9000.0,2002,0,1,66191.0,72752.5
37500.0,40000.0,2014,0,0,50000.0,63331.0
37666.666666666664,28000.0,2015,0,0,32800.0,52372.0
59500.0,50000.0,2016,0,0,32000.0,80435.0
56000.0,56000.0,2019,0,0,3900.0,58630.0
24829.956521739132,35000.0,2014,0,0,10000.0,50267.0
97142.85714285714,95000.0,2018,0,0,9600.0,72752.5
33399.933333333334,30000.0,2010,0,0,46782.0,72752.5
68740.27272727272,95000.0,2019,0,0,8000.0,94703.0
35000.0,40000.0,2017,0,0,11000.0,53436.0
35000.0,30000.0,2014,0,1,51000.0,86744.0
22000.0,18000.0,2013,0,0,45000.0,47032.0
31857.14285714286,14000.0,2008,0,0,66000.0,59183.0
29900.0,17000.0,2010,0,1,50000.0,72752.5
101100.0,125000.0,2017,0,0,23500.0,72752.5
20000.0,20000.0,2015,0,0,25000.0,72752.5
49000.0,50000.0,2017,0,0,41000.0,56925.0
133000.0,133000.0,2017,0,0,12000.0,72752.5
75000.0,70000.0,2018,0,0,33000.0,72752.5
44800.0,40000.0,2017,0,0,15000.0,55980.0
20000.0,10000.0,2008,0,0,50000.0,72752.5
38914.634146341465,35000.0,2010,0,0,40000.0,72752.5
10000.0,10000.0,2005,0,0,50000.0,72752.5
40466.6,42000.0,2015,0,0,20000.0,54605.0
35416.666666666664,20000.0,2009,0,0,50000.0,78712.0
44800.0,25000.0,2017,0,0,55000.0,52790.0
27187.5,25000.0,2016,0,0,70350.0,60122.0
133000.0,133000.0,2019,0,0,2700.0,99399.0
38750.0,50000.0,2016,0,0,20000.0,72752.5
27666.666666666668,30000.0,2011,0,0,20000.0,72752.5
53750.0,60000.0,2014,0,0,41311.0,81508.0
19152.941176470587,15000.0,2005,0,0,65000.0,72752.5
25000.0,15000.0,2014,0,1,34000.0,72752.5
24783.333333333332,25000.0,2011,0,0,20000.0,72752.5
54000.0,54000.0,2019,0,0,11000.0,72752.5
20000.0,25000.0,2007,0,0,75000.0,72752.5
133000.0,133000.0,2019,0,0,1200.0,72752.5
107600.0,100000.0,2014,0,0,19000.0,99399.0
15000.0,15000.0,2007,0,0,30000.0,72752.5
19152.941176470587,20000.0,2006,0,0,23000.0,72752.5
